学科名称,问题,答案
ai,什么是深度学习？,"深度学习（Deep Learning）是机器学习的一个分支，基于人工神经网络，通过多层非线性变换从数据中自动学习层次化特征表示。核心思想是使用反向传播算法调整网络权重。深度学习在图像识别、自然语言处理、语音识别等领域取得了突破性进展。主流框架包括PyTorch和TensorFlow。"
ai,什么是RAG技术？,"RAG（Retrieval-Augmented Generation，检索增强生成）是一种将信息检索与文本生成相结合的AI技术架构。它首先从外部知识库中检索与用户查询相关的文档片段，然后将这些片段作为上下文输入到大语言模型中，使模型能够基于检索到的权威信息生成更准确、更具时效性的回答，有效解决了大模型的知识截止问题和幻觉问题。"
ai,Transformer架构的核心机制是什么？,"Transformer架构的核心是自注意力机制（Self-Attention）。它通过计算序列中每个词与其他所有词的相关性权重，并行处理整个序列，解决了RNN无法并行化和长距离依赖的问题。关键组件包括：多头注意力（Multi-Head Attention）、位置编码（Positional Encoding）、前馈神经网络（Feed-Forward Network）、残差连接和层归一化（Layer Normalization）。"
ai,大语言模型的训练流程是怎样的？,"大语言模型训练通常分为三个阶段：1）预训练（Pre-training）：在海量文本语料上进行无监督学习，学习语言的统计规律和世界知识；2）监督微调（SFT）：使用高质量的人工标注指令数据调整模型，使其能够遵循人类指令；3）人类反馈强化学习（RLHF）：通过人类偏好数据训练奖励模型，再用PPO等强化学习算法优化模型输出质量。"
ai,什么是Prompt Engineering？,"Prompt Engineering（提示工程）是设计和优化输入提示词以引导大语言模型生成期望输出的技术。核心技巧包括：角色设定（赋予模型特定身份）、少样本提示（Few-shot，提供示例）、思维链（Chain-of-Thought，引导模型逐步推理）、结构化输出（要求特定格式）、以及负向提示（说明不要做什么）。好的提示工程能显著提升模型表现，无需修改模型参数。"
ai,CNN和RNN分别适用于什么场景？,"CNN（卷积神经网络）通过卷积核提取局部特征，具有平移不变性，特别适合处理网格结构数据。主要应用于图像分类、目标检测、图像分割等计算机视觉任务。RNN（循环神经网络）通过隐藏状态传递序列信息，适合处理时序数据。应用于文本生成、机器翻译、语音识别等序列建模任务。但RNN存在梯度消失问题，实际中常被LSTM或Transformer替代。"
ai,什么是向量数据库？为什么RAG需要它？,"向量数据库是专门存储和检索高维向量数据的数据库系统，通过近似最近邻（ANN）搜索算法快速找到与查询向量最相似的向量。RAG需要向量数据库是因为：1）将文档通过Embedding模型编码为语义向量存储；2）用户查询时通过向量相似度快速检索最相关的文档片段；3）支持毫秒级检索百万甚至十亿级别的向量。主流向量数据库包括Milvus、Pinecone、Weaviate等。"
ai,什么是Agent智能体？,"AI Agent（智能体）是具备自主感知、决策和执行能力的人工智能系统。核心特征包括：1）能够使用工具（API调用、数据库查询、代码执行）；2）具备规划和推理能力（将复杂任务分解为步骤）；3）拥有记忆机制（短期记忆和长期记忆）；4）可以与环境进行多轮交互。Agent框架如LangChain、AutoGPT等使得LLM能够自主完成更复杂的任务。"
ai,嵌入模型（Embedding Model）的作用是什么？,"嵌入模型将文本、图像等非结构化数据转换为固定维度的稠密向量，使得语义相似的文本在向量空间中距离更近。在RAG系统中，嵌入模型用于：1）将知识库文档编码为向量存入向量数据库；2）将用户查询实时编码为向量进行相似度检索。常用的中文嵌入模型包括BGE-M3、text2vec-large-chinese、m3e等。"
ai,什么是模型幻觉？如何缓解？,"模型幻觉（Hallucination）是指大语言模型生成了看似合理但实际不正确或无根据的内容。产生原因包括训练数据的噪声、解码策略的偏差、以及模型过度泛化。缓解方法主要有：1）RAG技术，基于检索结果生成回答；2）降低temperature参数使输出更保守；3）使用更精确的Prompt引导；4）引入事实核查机制；5）使用RLHF训练减少幻觉倾向。"
