context,question,answer,token
孔子是中国古代思想家，儒家学派创始人，其思想影响了东亚文化。,孔子对中国文化的影响是什么？,孔子思想影响了东亚文化。,39
人工智能（AI）是计算机科学的一个分支，涉及机器学习、自然语言处理等领域。,人工智能涉及哪些领域？,人工智能涉及机器学习和自然语言处理。,39
北京是中国的首都，位于华北平原，人口超过2000万，是政治、文化和国际交流中心。,北京作为中国的首都，有什么特点？,北京是政治、文化和国际交流中心，人口超过2000万。,37
故宫是明清两代的皇宫，位于北京市中心，收藏大量文物。,故宫的历史背景是什么？,故宫是明清皇宫，收藏大量文物。,29
茶文化在中国源远流长，绿茶、红茶、乌龙茶是常见品种。,中国茶文化的常见品种有哪些？,绿茶、红茶、乌龙茶是常见品种。,34
长江是中国最长的河流，发源于青藏高原，流经多个省份注入东海。,长江的发源地在哪里？,长江发源于青藏高原。,31
长城是古代中国修建的军事防御工程，全长超过2万公里，被誉为世界奇迹。,长城的全长大约是多少？,长城全长超过2万公里，是世界奇迹。,42
高铁是中国高速铁路的简称，时速可达350公里，连接全国主要城市。,中国高铁的时速能达到多少？,高铁时速可达350公里。,30
中医是中国传统医学，使用草药、针灸等方法治疗疾病，历史数千年。,中医的主要治疗方法是什么？,中医使用草药和针灸等方法。,42
唐诗是中国古典诗歌的巅峰，代表诗人有李白、杜甫，作品影响深远。,唐诗的代表诗人有哪些？,李白和杜甫是唐诗的代表诗人。,47
